description,intent
Renewed my Netflix subscription for Rs 2000 this month,Subscription
Renewed my Amazon Prime membership for Rs 1500 this year,Subscription
Subscribed to HBO Max for Rs 500 per month,Subscription
Renewed my Spotify Premium subscription for Rs 250 this month,Subscription
Subscribed to Apple Music for Rs 200 per month,Subscription
Renewed my Disney Plus subscription for Rs 300 this month,Subscription
Subscribed to YouTube Premium for Rs 400 per month,Subscription
Renewed my Audible membership for Rs 1000 this year,Subscription
Renewed my Netflix subscription for Rs 2000 this month.,Subscription
Renewed my Amazon Prime membership for Rs 1500 this year.,Subscription
Subscribed to HBO Max for Rs 500 per month.,Subscription
Renewed my Spotify Premium subscription for Rs 250 this month.,Subscription
Subscribed to Apple Music for Rs 200 per month.,Subscription
Renewed my Disney Plus subscription for Rs 300 this month.,Subscription
Subscribed to YouTube Premium for Rs 400 per month.,Subscription
Renewed my Audible membership for Rs 1000 this year.,Subscription
Subscribed to Kindle Unlimited for Rs 300 per month.,Subscription
Renewed my PlayStation Plus subscription for Rs 600 this month.,Subscription
Subscribed to LinkedIn Premium for Rs 700 per month.,Subscription
Renewed my Prime Video membership for Rs 1000 this year.,Subscription
Renewed my Amazon membership for Rs 500 this month.,Subscription
Renewed my Sony Liv subscription for Rs 300 this month.,Subscription
Subscribed to Zee5 for Rs 250 per month.,Subscription
Renewed my Hotstar subscription for Rs 500 this month.,Subscription
Subscribed to Voot for Rs 150 per month.,Subscription
Renewed my ALT Balaji subscription for Rs 100 this month.,Subscription
Subscribed to Gaana Plus for Rs 99 per month.,Subscription
Renewed my Eros Now subscription for Rs 200 this month.,Subscription
Subscribed to JioSaavn Pro for Rs 299 per month.,Subscription
Renewed my Sunnxt subscription for Rs 150 this month.,Subscription
Subscribed to Letterboxd for Rs 399 per month.,Subscription
Renewed my Aha subscription for Rs 249 this month.,Subscription
Subscribed to MX Player for Rs 49 per month.,Subscription
Renewed my Apple TV Plus subscription for Rs 499 this month.,Subscription
Renewed my Paramount Plus subscription for Rs 599 this month.,Subscription
Subscribed to Wynk Music for Rs 49 per month.,Subscription
Renewed my Blinkit membership for Rs 299 this month.,Subscription
Renewed my Zomato Gold membership for Rs 1500 this year.,Subscription
Subscribed to Swiggy One for Rs 149 per month.,Subscription
Subscribed to Netflix for Rs 1000 this year.,Subscription
Renewed my Dineout Plus membership for Rs 999 this year.,Subscription
Subscribed to Uber Eats for Rs 249 per month.,Subscription
Renewed my Foodpanda membership for Rs 299 this year.,Subscription
Renewed my Flipkart membership for Rs 999 this year.,Subscription
Subscribed to Myntra for Rs 149 per month.,Subscription
Renewed my Big Basket membership for Rs 299 this month.,Subscription
Subscribed to Grofers for Rs 99 per month.,Subscription
Renewed my Ola membership for Rs 299 this month.,Subscription
Subscribed to Rapido for Rs 99 per month.,Subscription
Subscribed to Ajio for Rs 1490 per month.,Subscription
Paid Rs 120 for a bowl of pasta.,Food
Lunch was Rs 85 for a chicken sandwich.,Food
Splurged Rs 200 on a large pepperoni pizza.,Food
Spent Rs 50 on a chocolate muffin.,Food
Bought a fruit salad for Rs 70.,Food
Dinner cost Rs 150 for a grilled chicken.,Food
Rs 35 for a cup of iced coffee.,Food
Rs 45 on a croissant at the bakery.,Food
Breakfast burrito for Rs 90.,Food
Paid Rs 100 for a bowl of ramen.,Food
Rs 60 on a slice of cheesecake.,Food
Ordered sushi for Rs 300.,Food
Rs 40 for a veggie burger.,Food
Enjoyed a Rs 25 samosa at the cafe.,Food
Spent Rs 80 on a plate of nachos.,Food
Rs 200 for a family-sized pizza.,Food
Rs 30 on a cup of hot chocolate.,Food
Bought a smoothie for Rs 50.,Food
Spent Rs 120 on a beef burger.,Food
Rs 75 for a bowl of tomato soup.,Food
Paid Rs 150 for a seafood platter.,Food
Rs 90 for a box of donuts.,Food
Ordered pasta for Rs 110.,Food
Spent Rs 40 on a chicken wrap.,Food
Rs 85 on a plate of biryani.,Food
Paid Rs 50 for a vanilla milkshake.,Food
Spent Rs 130 on a plate of lasagna.,Food
Rs 60 for a chocolate brownie.,Food
Rs 200 for a steak dinner.,Food
Bought an ice cream cone for Rs 30.,Food
Spent Rs 45 on a cheese sandwich.,Food
Paid Rs 110 for a sushi roll.,Food
Rs 80 on a chicken shawarma.,Food
Ordered Rs 150 worth of dim sum.,Food
Rs 20 for a cup of chai.,Food
Bought a Rs 100 pizza slice.,Food
Paid Rs 90 for a large cappuccino.,Food
Spent Rs 50 on a chicken taco.,Food
Rs 75 on a plate of spaghetti.,Food
Bought a Rs 35 muffin.,Food
Paid Rs 60 for a chocolate doughnut.,Food
Spent Rs 250 on a seafood paella.,Food
Rs 55 for a turkey sandwich.,Food
Bought a Rs 40 apple pie slice.,Food
Paid Rs 150 for a chicken kebab.,Food
Rs 20 on a bag of chips.,Food
Ordered Rs 70 worth of onion rings.,Food
Spent Rs 90 on a plate of falafel.,Food
Paid Rs 100 for a club sandwich.,Food
Bought Rs 45 worth of popcorn at the movies.,Food
